"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"1","MotorDown","","point","117,-27,0","motor number","1"
"2","MotorDown","","point","127,-28.00000000000017,0","motor number","2"
"3","MotorDown","","point","136,-31,0","motor number","3"
"4","MotorDown","","point","146,-34.00000000000023,0","motor number","4"
"5","MotorDown","","point","154,-38.00000000000011,0","motor number","5"
"6","MotorDown","","point","163,-44.00000000000011,0","motor number","6"
"7","MotorDown","","point","170,-50.00000000000011,0","motor number","7"
"8","MotorDown","","point","177,-57,0","motor number","8"
"9","MotorDown","","point","183,-64.99999999999989,0","motor number","9"
"10","MotorDown","","point","188,-73.99999999999977,0","motor number","10"
"11","MotorDown","","point","192,-83,0","motor number","11"
"12","MotorDown","","point","195,-92.00000000000023,0","motor number","12"
"13","MotorDown","","point","196,-102,0","motor number","13"
"14","MotorDown","","point","197,-112,0","motor number","14"
"15","MotorDown","","point","196,-122,0","motor number","15"
"16","MotorDown","","point","195,-131.9999999999998,0","motor number","16"
"17","MotorDown","","point","192,-141,0","motor number","17"
"18","MotorDown","","point","188,-150,0","motor number","18"
"19","MotorDown","","point","183,-159.0000000000001,0","motor number","19"
"20","MotorDown","","point","177,-167,0","motor number","20"
"21","MotorDown","","point","170,-174,0","motor number","21"
"22","MotorDown","","point","163,-180,0","motor number","22"
"23","MotorDown","","point","154,-186,0","motor number","23"
"24","MotorDown","","point","146,-190,0","motor number","24"
"25","MotorDown","","point","136,-193,0","motor number","25"
"26","MotorDown","","point","127,-196,0","motor number","26"
"27","MotorDown","","point","117,-197,0","motor number","27"
"28","MotorDown","","point","107,-197,0","motor number","28"
"29","MotorDown","","point","97,-196,0","motor number","29"
"30","MotorDown","","point","88,-193,0","motor number","30"
"31","MotorDown","","point","78,-190,0","motor number","31"
"32","MotorDown","","point","70,-186,0","motor number","32"
"33","MotorDown","","point","61,-180,0","motor number","33"
"34","MotorDown","","point","54,-174,0","motor number","34"
"35","MotorDown","","point","47,-167,0","motor number","35"
"36","MotorDown","","point","41,-159.0000000000001,0","motor number","36"
"37","MotorDown","","point","36,-150,0","motor number","37"
"38","MotorDown","","point","32.00000000000006,-141,0","motor number","38"
"39","MotorDown","","point","28.99999999999994,-131.9999999999998,0","motor number","39"
"40","MotorDown","","point","28,-122,0","motor number","40"
"41","MotorDown","","point","27,-112,0","motor number","41"
"42","MotorDown","","point","28,-102,0","motor number","42"
"43","MotorDown","","point","28.99999999999994,-92.00000000000023,0","motor number","43"
"44","MotorDown","","point","32.00000000000006,-83.00000000000006,0","motor number","44"
"45","MotorDown","","point","36,-73.99999999999977,0","motor number","45"
"46","MotorDown","","point","41,-64.99999999999989,0","motor number","46"
"47","MotorDown","","point","47,-57,0","motor number","47"
"48","MotorDown","","point","54,-50.00000000000011,0","motor number","48"
"49","MotorDown","","point","61,-44.00000000000011,0","motor number","49"
"50","MotorDown","","point","70,-38.00000000000011,0","motor number","50"
"51","MotorDown","","point","78,-34.00000000000023,0","motor number","51"
"52","MotorDown","","point","88,-31,0","motor number","52"
"53","MotorDown","","point","97,-28.00000000000017,0","motor number","53"
"54","MotorDown","","point","107,-27,0","motor number","54"
"55","MotorUp","","point","118.0000000000001,-3.999999999999943,0","motor number","1"
"56","MotorUp","","point","130.9999999999999,-5.999999999999943,0","motor number","2"
"57","MotorUp","","point","143,-9,0","motor number","3"
"58","MotorUp","","point","154.9999999999999,-13,0","motor number","4"
"59","MotorUp","","point","166,-18,0","motor number","5"
"60","MotorUp","","point","176,-25.00000000000011,0","motor number","6"
"61","MotorUp","","point","186,-33.00000000000006,0","motor number","7"
"62","MotorUp","","point","195,-43.00000000000011,0","motor number","8"
"63","MotorUp","","point","202,-52.99999999999994,0","motor number","9"
"64","MotorUp","","point","208.0000000000002,-64.00000000000011,0","motor number","10"
"65","MotorUp","","point","213,-74.99999999999994,0","motor number","11"
"66","MotorUp","","point","217,-87,0","motor number","12"
"67","MotorUp","","point","219,-100,0","motor number","13"
"68","MotorUp","","point","220,-112,0","motor number","14"
"69","MotorUp","","point","219,-124,0","motor number","15"
"70","MotorUp","","point","217,-137,0","motor number","16"
"71","MotorUp","","point","213,-149,0","motor number","17"
"72","MotorUp","","point","208.0000000000002,-160,0","motor number","18"
"73","MotorUp","","point","202,-171.0000000000002,0","motor number","19"
"74","MotorUp","","point","195,-180.9999999999998,0","motor number","20"
"75","MotorUp","","point","186,-191,0","motor number","21"
"76","MotorUp","","point","176,-198.9999999999998,0","motor number","22"
"77","MotorUp","","point","166,-206,0","motor number","23"
"78","MotorUp","","point","154.9999999999999,-211,0","motor number","24"
"79","MotorUp","","point","143,-215,0","motor number","25"
"80","MotorUp","","point","130.9999999999999,-218,0","motor number","26"
"81","MotorUp","","point","118.0000000000001,-220,0","motor number","27"
"82","MotorUp","","point","105.9999999999999,-220,0","motor number","28"
"83","MotorUp","","point","93.00000000000011,-218,0","motor number","29"
"84","MotorUp","","point","81,-215,0","motor number","30"
"85","MotorUp","","point","69.00000000000011,-211,0","motor number","31"
"86","MotorUp","","point","58,-206,0","motor number","32"
"87","MotorUp","","point","48,-198.9999999999998,0","motor number","33"
"88","MotorUp","","point","38,-191,0","motor number","34"
"89","MotorUp","","point","28.99999999999994,-180.9999999999998,0","motor number","35"
"90","MotorUp","","point","22.00000000000006,-171.0000000000002,0","motor number","36"
"91","MotorUp","","point","15.99999999999977,-160,0","motor number","37"
"92","MotorUp","","point","11,-149,0","motor number","38"
"93","MotorUp","","point","7,-137,0","motor number","39"
"94","MotorUp","","point","4.999999999999943,-124,0","motor number","40"
"95","MotorUp","","point","4,-112,0","motor number","41"
"96","MotorUp","","point","4.999999999999943,-100,0","motor number","42"
"97","MotorUp","","point","7.000000000000057,-87,0","motor number","43"
"98","MotorUp","","point","11.00000000000006,-74.99999999999994,0","motor number","44"
"99","MotorUp","","point","15.99999999999977,-64.00000000000011,0","motor number","45"
"100","MotorUp","","point","21.99999999999994,-52.99999999999994,0","motor number","46"
"101","MotorUp","","point","29,-43.00000000000011,0","motor number","47"
"102","MotorUp","","point","38,-32.99999999999994,0","motor number","48"
"103","MotorUp","","point","48,-25.00000000000011,0","motor number","49"
"104","MotorUp","","point","58,-18,0","motor number","50"
"105","MotorUp","","point","69.00000000000011,-13,0","motor number","51"
"106","MotorUp","","point","81,-9,0","motor number","52"
"107","MotorUp","","point","93.00000000000011,-5.999999999999943,0","motor number","53"
"108","MotorUp","","point","105.9999999999999,-4,0","motor number","54"
